# y+ ()       
# Time        	patch         	min           	max           	average       
43500         	bottomWall	2.988937e-02	2.988937e-02	2.988937e-02
43500         	topWall	2.988937e-02	2.988937e-02	2.988937e-02
44000         	bottomWall	2.988730e-02	2.988730e-02	2.988730e-02
44000         	topWall	2.988729e-02	2.988729e-02	2.988729e-02
44500         	bottomWall	2.988524e-02	2.988524e-02	2.988524e-02
44500         	topWall	2.988523e-02	2.988523e-02	2.988523e-02
45000         	bottomWall	2.988320e-02	2.988320e-02	2.988320e-02
45000         	topWall	2.988320e-02	2.988320e-02	2.988320e-02
45500         	bottomWall	2.988122e-02	2.988122e-02	2.988122e-02
45500         	topWall	2.988121e-02	2.988121e-02	2.988121e-02
46000         	bottomWall	2.987928e-02	2.987928e-02	2.987928e-02
46000         	topWall	2.987927e-02	2.987927e-02	2.987927e-02
46500         	bottomWall	2.987741e-02	2.987741e-02	2.987741e-02
46500         	topWall	2.987741e-02	2.987741e-02	2.987741e-02
47000         	bottomWall	2.987562e-02	2.987562e-02	2.987562e-02
47000         	topWall	2.987561e-02	2.987561e-02	2.987561e-02
47500         	bottomWall	2.987390e-02	2.987390e-02	2.987390e-02
47500         	topWall	2.987390e-02	2.987390e-02	2.987390e-02
48000         	bottomWall	2.987227e-02	2.987227e-02	2.987227e-02
48000         	topWall	2.987227e-02	2.987227e-02	2.987227e-02
48500         	bottomWall	2.987074e-02	2.987074e-02	2.987074e-02
48500         	topWall	2.987073e-02	2.987073e-02	2.987073e-02
49000         	bottomWall	2.986929e-02	2.986929e-02	2.986929e-02
49000         	topWall	2.986929e-02	2.986929e-02	2.986929e-02
49500         	bottomWall	2.986795e-02	2.986795e-02	2.986795e-02
49500         	topWall	2.986794e-02	2.986794e-02	2.986794e-02
50000         	bottomWall	2.986669e-02	2.986669e-02	2.986669e-02
50000         	topWall	2.986669e-02	2.986669e-02	2.986669e-02
50500         	bottomWall	2.986554e-02	2.986554e-02	2.986554e-02
50500         	topWall	2.986553e-02	2.986553e-02	2.986553e-02
51000         	bottomWall	2.986447e-02	2.986447e-02	2.986447e-02
51000         	topWall	2.986447e-02	2.986447e-02	2.986447e-02
51500         	bottomWall	2.986350e-02	2.986350e-02	2.986350e-02
51500         	topWall	2.986350e-02	2.986350e-02	2.986350e-02
52000         	bottomWall	2.986262e-02	2.986262e-02	2.986262e-02
52000         	topWall	2.986261e-02	2.986261e-02	2.986261e-02
52500         	bottomWall	2.986182e-02	2.986182e-02	2.986182e-02
52500         	topWall	2.986182e-02	2.986182e-02	2.986182e-02
53000         	bottomWall	2.986111e-02	2.986111e-02	2.986111e-02
53000         	topWall	2.986110e-02	2.986110e-02	2.986110e-02
53500         	bottomWall	2.986047e-02	2.986047e-02	2.986047e-02
53500         	topWall	2.986046e-02	2.986046e-02	2.986046e-02
54000         	bottomWall	2.985990e-02	2.985990e-02	2.985990e-02
54000         	topWall	2.985989e-02	2.985989e-02	2.985989e-02
54500         	bottomWall	2.985941e-02	2.985941e-02	2.985941e-02
54500         	topWall	2.985940e-02	2.985940e-02	2.985940e-02
55000         	bottomWall	2.985898e-02	2.985898e-02	2.985898e-02
55000         	topWall	2.985897e-02	2.985897e-02	2.985897e-02
55500         	bottomWall	2.985861e-02	2.985861e-02	2.985861e-02
55500         	topWall	2.985861e-02	2.985861e-02	2.985861e-02
56000         	bottomWall	2.985831e-02	2.985831e-02	2.985831e-02
56000         	topWall	2.985830e-02	2.985830e-02	2.985830e-02
56500         	bottomWall	2.985806e-02	2.985806e-02	2.985806e-02
56500         	topWall	2.985805e-02	2.985805e-02	2.985805e-02
57000         	bottomWall	2.985785e-02	2.985785e-02	2.985785e-02
57000         	topWall	2.985785e-02	2.985785e-02	2.985785e-02
57500         	bottomWall	2.985770e-02	2.985770e-02	2.985770e-02
57500         	topWall	2.985769e-02	2.985769e-02	2.985769e-02
58000         	bottomWall	2.985758e-02	2.985758e-02	2.985758e-02
58000         	topWall	2.985757e-02	2.985757e-02	2.985757e-02
58500         	bottomWall	2.985750e-02	2.985750e-02	2.985750e-02
58500         	topWall	2.985750e-02	2.985750e-02	2.985750e-02
59000         	bottomWall	2.985746e-02	2.985746e-02	2.985746e-02
59000         	topWall	2.985745e-02	2.985745e-02	2.985745e-02
59500         	bottomWall	2.985745e-02	2.985745e-02	2.985745e-02
59500         	topWall	2.985744e-02	2.985744e-02	2.985744e-02
60000         	bottomWall	2.985746e-02	2.985746e-02	2.985746e-02
60000         	topWall	2.985745e-02	2.985745e-02	2.985745e-02
60500         	bottomWall	2.985749e-02	2.985749e-02	2.985749e-02
60500         	topWall	2.985748e-02	2.985748e-02	2.985748e-02
61000         	bottomWall	2.985755e-02	2.985755e-02	2.985755e-02
61000         	topWall	2.985754e-02	2.985754e-02	2.985754e-02
61500         	bottomWall	2.985762e-02	2.985762e-02	2.985762e-02
61500         	topWall	2.985761e-02	2.985761e-02	2.985761e-02
62000         	bottomWall	2.985771e-02	2.985771e-02	2.985771e-02
62000         	topWall	2.985770e-02	2.985770e-02	2.985770e-02
62500         	bottomWall	2.985781e-02	2.985781e-02	2.985781e-02
62500         	topWall	2.985780e-02	2.985780e-02	2.985780e-02
63000         	bottomWall	2.985792e-02	2.985792e-02	2.985792e-02
63000         	topWall	2.985791e-02	2.985791e-02	2.985791e-02
63500         	bottomWall	2.985804e-02	2.985804e-02	2.985804e-02
63500         	topWall	2.985803e-02	2.985803e-02	2.985803e-02
64000         	bottomWall	2.985816e-02	2.985816e-02	2.985816e-02
64000         	topWall	2.985816e-02	2.985816e-02	2.985816e-02
64500         	bottomWall	2.985829e-02	2.985829e-02	2.985829e-02
64500         	topWall	2.985828e-02	2.985828e-02	2.985828e-02
65000         	bottomWall	2.985841e-02	2.985841e-02	2.985841e-02
65000         	topWall	2.985841e-02	2.985841e-02	2.985841e-02
65500         	bottomWall	2.985853e-02	2.985853e-02	2.985853e-02
65500         	topWall	2.985853e-02	2.985853e-02	2.985853e-02
66000         	bottomWall	2.985865e-02	2.985865e-02	2.985865e-02
66000         	topWall	2.985864e-02	2.985864e-02	2.985864e-02
66500         	bottomWall	2.985876e-02	2.985876e-02	2.985876e-02
66500         	topWall	2.985875e-02	2.985875e-02	2.985875e-02
67000         	bottomWall	2.985885e-02	2.985885e-02	2.985885e-02
67000         	topWall	2.985885e-02	2.985885e-02	2.985885e-02
67500         	bottomWall	2.985894e-02	2.985894e-02	2.985894e-02
67500         	topWall	2.985893e-02	2.985893e-02	2.985893e-02
68000         	bottomWall	2.985902e-02	2.985902e-02	2.985902e-02
68000         	topWall	2.985901e-02	2.985901e-02	2.985901e-02
68500         	bottomWall	2.985909e-02	2.985909e-02	2.985909e-02
68500         	topWall	2.985908e-02	2.985908e-02	2.985908e-02
69000         	bottomWall	2.985915e-02	2.985915e-02	2.985915e-02
69000         	topWall	2.985914e-02	2.985914e-02	2.985914e-02
69500         	bottomWall	2.985919e-02	2.985919e-02	2.985919e-02
69500         	topWall	2.985918e-02	2.985918e-02	2.985918e-02
70000         	bottomWall	2.985923e-02	2.985923e-02	2.985923e-02
70000         	topWall	2.985922e-02	2.985922e-02	2.985922e-02
70500         	bottomWall	2.985926e-02	2.985926e-02	2.985926e-02
70500         	topWall	2.985925e-02	2.985925e-02	2.985925e-02
71000         	bottomWall	2.985928e-02	2.985928e-02	2.985928e-02
71000         	topWall	2.985927e-02	2.985927e-02	2.985927e-02
71500         	bottomWall	2.985929e-02	2.985929e-02	2.985929e-02
71500         	topWall	2.985929e-02	2.985929e-02	2.985929e-02
72000         	bottomWall	2.985930e-02	2.985930e-02	2.985930e-02
72000         	topWall	2.985929e-02	2.985929e-02	2.985929e-02
72500         	bottomWall	2.985930e-02	2.985930e-02	2.985930e-02
72500         	topWall	2.985929e-02	2.985929e-02	2.985929e-02
73000         	bottomWall	2.985929e-02	2.985929e-02	2.985929e-02
73000         	topWall	2.985929e-02	2.985929e-02	2.985929e-02
73500         	bottomWall	2.985928e-02	2.985928e-02	2.985928e-02
73500         	topWall	2.985928e-02	2.985928e-02	2.985928e-02
74000         	bottomWall	2.985927e-02	2.985927e-02	2.985927e-02
74000         	topWall	2.985926e-02	2.985926e-02	2.985926e-02
74500         	bottomWall	2.985925e-02	2.985925e-02	2.985925e-02
74500         	topWall	2.985925e-02	2.985925e-02	2.985925e-02
75000         	bottomWall	2.985923e-02	2.985923e-02	2.985923e-02
75000         	topWall	2.985923e-02	2.985923e-02	2.985923e-02
75500         	bottomWall	2.985921e-02	2.985921e-02	2.985921e-02
75500         	topWall	2.985921e-02	2.985921e-02	2.985921e-02
76000         	bottomWall	2.985919e-02	2.985919e-02	2.985919e-02
76000         	topWall	2.985919e-02	2.985919e-02	2.985919e-02
76500         	bottomWall	2.985917e-02	2.985917e-02	2.985917e-02
76500         	topWall	2.985916e-02	2.985916e-02	2.985916e-02
77000         	bottomWall	2.985915e-02	2.985915e-02	2.985915e-02
77000         	topWall	2.985914e-02	2.985914e-02	2.985914e-02
77500         	bottomWall	2.985913e-02	2.985913e-02	2.985913e-02
77500         	topWall	2.985912e-02	2.985912e-02	2.985912e-02
78000         	bottomWall	2.985911e-02	2.985911e-02	2.985911e-02
78000         	topWall	2.985910e-02	2.985910e-02	2.985910e-02
78500         	bottomWall	2.985909e-02	2.985909e-02	2.985909e-02
78500         	topWall	2.985908e-02	2.985908e-02	2.985908e-02
79000         	bottomWall	2.985907e-02	2.985907e-02	2.985907e-02
79000         	topWall	2.985906e-02	2.985906e-02	2.985906e-02
79500         	bottomWall	2.985905e-02	2.985905e-02	2.985905e-02
79500         	topWall	2.985905e-02	2.985905e-02	2.985905e-02
80000         	bottomWall	2.985904e-02	2.985904e-02	2.985904e-02
80000         	topWall	2.985903e-02	2.985903e-02	2.985903e-02
80500         	bottomWall	2.985903e-02	2.985903e-02	2.985903e-02
80500         	topWall	2.985902e-02	2.985902e-02	2.985902e-02
81000         	bottomWall	2.985901e-02	2.985901e-02	2.985901e-02
81000         	topWall	2.985901e-02	2.985901e-02	2.985901e-02
81500         	bottomWall	2.985900e-02	2.985900e-02	2.985900e-02
81500         	topWall	2.985900e-02	2.985900e-02	2.985900e-02
82000         	bottomWall	2.985900e-02	2.985900e-02	2.985900e-02
82000         	topWall	2.985899e-02	2.985899e-02	2.985899e-02
82500         	bottomWall	2.985899e-02	2.985899e-02	2.985899e-02
82500         	topWall	2.985898e-02	2.985898e-02	2.985898e-02
83000         	bottomWall	2.985898e-02	2.985898e-02	2.985898e-02
83000         	topWall	2.985898e-02	2.985898e-02	2.985898e-02
83500         	bottomWall	2.985898e-02	2.985898e-02	2.985898e-02
83500         	topWall	2.985897e-02	2.985897e-02	2.985897e-02
84000         	bottomWall	2.985898e-02	2.985898e-02	2.985898e-02
84000         	topWall	2.985897e-02	2.985897e-02	2.985897e-02
84500         	bottomWall	2.985898e-02	2.985898e-02	2.985898e-02
84500         	topWall	2.985897e-02	2.985897e-02	2.985897e-02
85000         	bottomWall	2.985898e-02	2.985898e-02	2.985898e-02
85000         	topWall	2.985897e-02	2.985897e-02	2.985897e-02
85500         	bottomWall	2.985898e-02	2.985898e-02	2.985898e-02
85500         	topWall	2.985898e-02	2.985898e-02	2.985898e-02
86000         	bottomWall	2.985899e-02	2.985899e-02	2.985899e-02
86000         	topWall	2.985898e-02	2.985898e-02	2.985898e-02
86500         	bottomWall	2.985899e-02	2.985899e-02	2.985899e-02
86500         	topWall	2.985898e-02	2.985898e-02	2.985898e-02
87000         	bottomWall	2.985900e-02	2.985900e-02	2.985900e-02
